graph_type,num_nodes,param,num_edges,reference_size,exact_used,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,FastVC_size,FastVC_time,FastVC_ratio,FastVC_valid,SA_size,SA_time,SA_ratio,SA_valid
ER,14,0.3,33,9,True,9,0.035574143985286355,1.0,True,9,0.00030478707049041986,1.0,True,12,9.100290481001139e-05,1.3333333333333333,True,10,0.00011391204316169024,1.1111111111111112,True,9,0.008474610047414899,1.0,True
ER,14,0.5,34,8,True,8,0.032088785083033144,1.0,True,9,0.00018563796766102314,1.125,True,12,9.589199908077717e-05,1.5,True,9,0.00013751699589192867,1.125,True,8,0.008501011063344777,1.0,True
ER,14,0.5,45,9,True,9,0.03628198499791324,1.0,True,9,0.00017034297343343496,1.0,True,14,0.00012292107567191124,1.5555555555555556,True,12,0.0001314410474151373,1.3333333333333333,True,10,0.009867526008747518,1.1111111111111112,True
ER,14,0.5,37,9,True,9,0.034107406972907484,1.0,True,9,0.00015756208449602127,1.0,True,14,9.63109778240323e-05,1.5555555555555556,True,10,0.00012543494813144207,1.1111111111111112,True,9,0.008753975969739258,1.0,True
ER,14,0.5,38,9,True,9,0.0340041829040274,1.0,True,9,0.00016957498155534267,1.0,True,12,0.00010043196380138397,1.3333333333333333,True,11,0.00011928798630833626,1.2222222222222223,True,9,0.009054223075509071,1.0,True
ER,14,0.5,47,10,True,10,0.038949504029005766,1.0,True,11,0.00019178504589945078,1.1,True,14,0.00011055904906243086,1.4,True,12,0.0001358409645035863,1.2,True,11,0.009925144026055932,1.1,True
ER,14,0.5,43,10,True,10,0.03974436700809747,1.0,True,10,0.00016817706637084484,1.0,True,12,0.00011782289948314428,1.2,True,10,0.0001343740150332451,1.0,True,10,0.009113937034271657,1.0,True
ER,14,0.5,42,9,True,9,0.03545974497683346,1.0,True,10,0.00019555597100406885,1.1111111111111112,True,12,0.00010022195056080818,1.3333333333333333,True,10,0.0001269010826945305,1.1111111111111112,True,9,0.009115822962485254,1.0,True
ER,14,0.5,50,10,True,10,0.040514227002859116,1.0,True,11,0.0001847309758886695,1.1,True,14,0.00011488900054246187,1.4,True,12,0.00013702898286283016,1.2,True,10,0.009997569024562836,1.0,True
ER,14,0.5,54,10,True,11,0.0469484250061214,1.1,True,11,0.00022845098283141851,1.1,True,14,0.00013032404240220785,1.4,True,11,0.0001625210279598832,1.1,True,10,0.010555251967161894,1.0,True
ER,14,0.5,49,9,True,9,0.03627514105755836,1.0,True,9,0.00021287600975483656,1.0,True,12,0.00024193001445382833,1.3333333333333333,True,11,0.00014373299200087786,1.2222222222222223,True,9,0.009868433000519872,1.0,True
ER,14,0.7,55,10,True,10,0.039390691090375185,1.0,True,10,0.00020002503879368305,1.0,True,10,0.00011663499753922224,1.0,True,10,0.00013821606989949942,1.0,True,10,0.010492673958651721,1.0,True
ER,14,0.7,63,10,True,10,0.04155458300374448,1.0,True,10,0.00022188597358763218,1.0,True,14,0.00014338409528136253,1.4,True,12,0.00015427905600517988,1.2,True,10,0.01107996900100261,1.0,True
ER,14,0.7,57,10,True,10,0.04204863996710628,1.0,True,10,0.00018256506882607937,1.0,True,14,0.00013178994413465261,1.4,True,11,0.00014778494369238615,1.1,True,10,0.01083531603217125,1.0,True
ER,14,0.7,58,10,True,10,0.04128276102710515,1.0,True,11,0.00021182792261242867,1.1,True,14,0.00012599409092217684,1.4,True,11,0.00015791109763085842,1.1,True,10,0.010599111905321479,1.0,True
ER,14,0.7,63,11,True,11,0.04457619599997997,1.0,True,11,0.00020484498236328363,1.0,True,14,0.00012382795102894306,1.2727272727272727,True,12,0.00015672401059418917,1.0909090909090908,True,11,0.011190179036930203,1.0,True
ER,14,0.7,57,10,True,10,0.03804917889647186,1.0,True,10,0.00019471801351755857,1.0,True,12,0.0001213139621540904,1.2,True,11,0.00016992399469017982,1.1,True,10,0.010382325039245188,1.0,True
ER,14,0.7,61,11,True,11,0.043513630982488394,1.0,True,11,0.00018961902242153883,1.0,True,12,0.0001201271079480648,1.0909090909090908,True,11,0.00014624802861362696,1.0,True,11,0.01117530302144587,1.0,True
ER,14,0.7,72,10,True,10,0.03918130695819855,1.0,True,10,0.00021965103223919868,1.0,True,14,0.00013626005966216326,1.4,True,13,0.00016482500359416008,1.3,True,10,0.012078420957550406,1.0,True
ER,14,0.7,68,11,True,11,0.054934915038757026,1.0,True,11,0.0002715429291129112,1.0,True,14,0.00014827295672148466,1.2727272727272727,True,12,0.00017034297343343496,1.0909090909090908,True,11,0.011519690044224262,1.0,True
ER,14,0.7,68,11,True,12,0.05235839996021241,1.0909090909090908,True,12,0.00025687599554657936,1.0909090909090908,True,12,0.0001336060231551528,1.0909090909090908,True,12,0.00018577789887785912,1.0909090909090908,True,11,0.012215449009090662,1.0,True
ER,19,0.3,44,12,True,12,0.061090725008398294,1.0,True,12,0.0002975940005853772,1.0,True,18,0.0001237589167430997,1.5,True,12,0.0001716000260785222,1.0,True,12,0.010883367038331926,1.0,True
ER,19,0.3,54,12,True,12,0.06728117703460157,1.0,True,12,0.0002831360325217247,1.0,True,18,0.00015064701437950134,1.5,True,12,0.0001953460741788149,1.0,True,12,0.01180729700718075,1.0,True
ER,19,0.3,51,11,True,11,0.05373769497964531,1.0,True,11,0.00026225403416901827,1.0,True,18,0.00013172102626413107,1.6363636363636365,True,13,0.0001691549550741911,1.1818181818181819,True,12,0.01138203393202275,1.0909090909090908,True
ER,19,0.3,43,11,True,12,0.05881885904818773,1.0909090909090908,True,12,0.00019799999427050352,1.0909090909090908,True,16,0.00011586700566112995,1.4545454545454546,True,12,0.00016398692969232798,1.0909090909090908,True,12,0.01108988793566823,1.0909090909090908,True
ER,19,0.3,61,11,True,11,0.05480626702774316,1.0,True,11,0.0002585519105195999,1.0,True,18,0.00015155598521232605,1.6363636363636365,True,14,0.00019178399816155434,1.2727272727272727,True,12,0.012353594996966422,1.0909090909090908,True
ER,19,0.3,49,12,True,12,0.06378373503684998,1.0,True,13,0.0002364130923524499,1.0833333333333333,True,14,0.0001435240264981985,1.1666666666666667,True,13,0.00016280007548630238,1.0833333333333333,True,12,0.012029113015159965,1.0,True
ER,19,0.3,45,11,True,11,0.06234647100791335,1.0,True,11,0.0002422090619802475,1.0,True,16,0.00014771404676139355,1.4545454545454546,True,12,0.0001812379341572523,1.0909090909090908,True,11,0.011108743958175182,1.0,True
ER,19,0.3,62,13,True,13,0.06375139800366014,1.0,True,13,0.0002692379057407379,1.0,True,18,0.0001473650336265564,1.3846153846153846,True,13,0.00019799999427050352,1.0,True,13,0.012542654993012547,1.0,True
