inst_id,graph_type,num_nodes,is_optimal,ratio,step,n_active,H,H_max,H_norm,D_kl,rel_delta,vertex,best_prob
316,ER,54,True,1.0,4,50,3.911809843448491,3.912023005428146,0.9999455110618318,0.00021316197965488896,0.010036752288209938,30,4.178771203622311e-06
316,ER,54,True,1.0,5,49,3.891593778029761,3.8918202981106265,0.9999417958529648,0.00022652008086601578,0.0014114628552818118,0,4.253044403101924e-06
316,ER,54,True,1.0,6,48,3.870914576256027,3.871201010907891,0.9999260088403942,0.0002864346518638189,8.617921717637381e-05,16,4.285390299618719e-06
316,ER,54,True,1.0,7,47,3.8498315568508246,3.8501476017100584,0.9999179135732112,0.00031604485923410804,0.009678257665550763,40,4.451016670348196e-06
316,ER,54,True,1.0,8,46,3.8282710015047625,3.828641396489095,0.9999032568094071,0.00037039498433239784,0.009908473074388706,46,4.552737167706766e-06
316,ER,54,True,1.0,9,45,3.8062189276253937,3.8066624897703196,0.9998834774172605,0.000443562144926716,0.007347167924926792,26,4.6108916009757195e-06
316,ER,54,True,1.0,10,44,3.7837053014922266,3.784189633918261,0.9998720115869212,0.00048433242603448186,0.00010994636348539359,17,4.716075414745724e-06
316,ER,54,True,1.0,11,43,3.7606727913099776,3.7612001156935624,0.9998597989026469,0.0005273243835848245,0.003694210287227023,42,4.8500810678753226e-06
316,ER,54,True,1.0,12,42,3.7370953927568142,3.7376696182833684,0.9998463680353809,0.0005742255265545428,0.003410143442283796,2,5.039881396107226e-06
316,ER,54,True,1.0,13,41,3.7128947982750713,3.713572066704308,0.9998176234587424,0.0006772684292365856,0.006257775951772207,34,5.250204751616749e-06
316,ER,54,True,1.0,14,40,3.688111985928302,3.6888794541139363,0.9997919508633499,0.0007674681856346295,0.00941828853977769,18,5.421915008629874e-06
316,ER,54,True,1.0,15,39,3.6628845573983417,3.6635616461296463,0.9998151829294261,0.0006770887313045995,0.007514837238348061,27,5.462082646290334e-06
316,ER,54,True,1.0,16,38,3.6368422819778936,3.6375861597263857,0.9997955023700255,0.0007438777484920837,0.0006541850043152991,44,5.582585929753137e-06
316,ER,54,True,1.0,17,37,3.6101326872632065,3.6109179126442243,0.9997825413371297,0.0007852253810172368,0.006682529878667872,19,5.8383301729802994e-06
316,ER,54,True,1.0,18,36,3.5825895702606143,3.58351893845611,0.9997406548670575,0.0009293681954955263,0.012394973317243544,52,5.939539188037912e-06
316,ER,54,True,1.0,19,35,3.554475703508138,3.5553480614894135,0.9997546349988277,0.0008723579812763337,9.470619409534937e-06,38,6.139987545950021e-06
316,ER,54,True,1.0,20,34,3.5254069537867605,3.5263605246161616,0.9997295878221343,0.0009535708294009527,0.0037257956853946365,51,6.500257523134323e-06
316,ER,54,True,1.0,21,33,3.495524154537922,3.4965075614664802,0.9997187459454125,0.0009834069285581742,0.022836237532766177,43,7.090554218214251e-06
