graph_type,num_nodes,param,num_edges,reference_size,exact_ref,t_opt_theory,ratio_t0.001000,ratio_t0.001374,ratio_t0.001887,ratio_t0.002593,ratio_t0.003562,ratio_t0.004894,ratio_t0.006723,ratio_t0.009237,ratio_t0.012690,ratio_t0.017433,ratio_t0.023950,ratio_t0.032903,ratio_t0.045204,ratio_t0.062102,ratio_t0.085317,ratio_t0.117210,ratio_t0.161026,ratio_t0.221222,ratio_t0.303920,ratio_t0.417532,ratio_t0.573615,ratio_t0.788046,ratio_t1.082637,ratio_t1.487352,ratio_t2.043360,ratio_t2.807216,ratio_t3.856620,ratio_t5.298317,ratio_t7.278954,ratio_t10.000000
ER,30,0.5,216,23,False,0.33246067325301887,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0434782608695652,1.0,1.0,1.0,1.0,1.0434782608695652,1.1304347826086956,1.2608695652173914,1.2608695652173914,1.0869565217391304,1.173913043478261
ER,30,0.5,229,24,False,0.33246067325301887,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.125,1.2083333333333333,1.2083333333333333,1.0833333333333333,1.1666666666666667
ER,40,0.5,400,34,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0588235294117647,1.1470588235294117,1.1470588235294117,1.0588235294117647,1.088235294117647
ER,40,0.5,378,33,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0303030303030303,1.0303030303030303,1.1818181818181819,1.1818181818181819,1.0909090909090908,1.1818181818181819
ER,40,0.5,389,33,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0606060606060606,1.0909090909090908,1.1818181818181819,1.1818181818181819,1.1515151515151516,1.121212121212121
ER,40,0.5,394,33,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0303030303030303,1.0606060606060606,1.1818181818181819,1.1818181818181819,1.1818181818181819,1.1515151515151516
ER,40,0.5,389,32,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0625,1.21875,1.21875,1.21875,1.15625
ER,40,0.5,401,34,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0588235294117647,1.1470588235294117,1.1470588235294117,1.1470588235294117,1.1176470588235294
ER,40,0.5,399,34,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0294117647058822,1.1470588235294117,1.1470588235294117,1.0294117647058822,1.1176470588235294
ER,40,0.5,416,33,False,0.30131684841794815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0606060606060606,1.0606060606060606,1.1818181818181819,1.1818181818181819,1.1818181818181819,1.121212121212121
