graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,matching_lb,lb_tight,n_steps,min_delta,min_gap,n_uncertain
ER,19,0.7,117,15,15,1.0,True,9,False,15,2.220446049250313e-16,0.4855259646441046,15
ER,19,0.7,132,15,16,1.0666666666666667,False,9,False,16,2.220446049250313e-16,0.5664051260783671,16
ER,19,0.7,120,15,15,1.0,True,9,False,15,2.220446049250313e-16,0.5657414540893352,15
ER,19,0.7,125,16,16,1.0,True,9,False,16,2.220446049250313e-16,0.34594266799662554,16
ER,24,0.3,74,15,15,1.0,True,12,False,15,2.220446049250313e-16,0.23967062922628532,15
ER,24,0.3,88,16,16,1.0,True,12,False,16,0.0,0.1698936036529768,16
ER,24,0.3,86,16,16,1.0,True,12,False,16,0.0,0.31909649331979917,16
ER,24,0.3,74,16,16,1.0,True,12,False,16,2.220446049250313e-16,0.283495754172525,16
ER,24,0.3,88,15,16,1.0666666666666667,False,12,False,16,2.220446049250313e-16,0.36540681487759363,16
ER,24,0.3,77,16,16,1.0,True,12,False,16,0.0,0.3057530765589206,16
ER,24,0.3,82,16,16,1.0,True,12,False,16,2.220446049250313e-16,0.36962964039940593,16
ER,24,0.3,92,16,16,1.0,True,12,False,16,2.220446049250313e-16,0.40154688703181657,16
ER,24,0.3,82,16,16,1.0,True,12,False,16,2.220446049250313e-16,0.34594266799662604,16
ER,24,0.3,93,17,17,1.0,True,12,False,17,0.0,0.19809951176317508,17
ER,24,0.5,128,18,18,1.0,True,12,False,18,2.220446049250313e-16,0.4287174470214672,18
ER,24,0.5,139,18,18,1.0,True,12,False,18,2.220446049250313e-16,0.6098589367477517,18
ER,24,0.5,140,18,18,1.0,True,12,False,18,2.220446049250313e-16,0.422649730810374,18
ER,24,0.5,135,18,18,1.0,True,12,False,18,2.220446049250313e-16,0.4609857324907518,18
ER,24,0.5,141,18,18,1.0,True,12,False,18,0.0,4.626871172546262e-16,18
ER,24,0.5,135,18,18,1.0,True,12,False,18,0.0,0.46322657264494915,18
ER,24,0.5,142,18,19,1.0555555555555556,False,12,False,19,2.220446049250313e-16,0.5004064407901255,19
ER,24,0.5,145,19,19,1.0,True,12,False,19,2.220446049250313e-16,0.23612335693070452,19
ER,24,0.5,138,18,18,1.0,True,12,False,18,0.0,0.406234240380326,18
ER,24,0.5,148,19,19,1.0,True,12,False,19,2.220446049250313e-16,0.34594266799662543,19
ER,24,0.7,189,19,19,1.0,True,12,False,19,0.0,0.6009089271342133,19
ER,24,0.7,189,20,20,1.0,True,12,False,20,2.220446049250313e-16,0.4803838432311668,20
ER,24,0.7,195,20,20,1.0,True,12,False,20,0.0,0.4999999999999999,20
ER,24,0.7,193,19,19,1.0,True,12,False,19,4.440892098500626e-16,0.5657414540893352,19
ER,24,0.7,187,20,20,1.0,True,12,False,20,2.220446049250313e-16,0.523920311597315,20
ER,24,0.7,188,20,20,1.0,True,12,False,20,0.0,0.5754550492407408,20
ER,24,0.7,192,19,19,1.0,True,12,False,19,0.0,0.5657414540893351,19
ER,24,0.7,200,20,20,1.0,True,12,False,20,0.0,0.602505603048578,20
ER,24,0.7,183,20,20,1.0,True,12,False,20,2.220446049250313e-16,0.49999999999999983,20
ER,24,0.7,201,20,20,1.0,True,12,False,20,0.0,0.5124118730374689,20
ER,29,0.3,112,20,20,1.0,True,14,False,20,2.220446049250313e-16,1.3224339996335372e-16,20
ER,29,0.3,131,20,20,1.0,True,14,False,20,8.502771142726573e-08,0.41152602397776294,20
ER,29,0.3,117,20,20,1.0,True,14,False,20,0.0,0.350883374218697,20
ER,29,0.3,112,21,21,1.0,True,14,False,21,2.220446049250313e-16,0.27041402390952096,21
ER,29,0.3,124,20,20,1.0,True,14,False,20,2.220446049250313e-16,0.1909830056250525,20
ER,29,0.3,119,19,20,1.0526315789473684,False,14,False,20,2.220446049250313e-16,0.3388735126877582,20
ER,29,0.3,121,20,21,1.05,False,14,False,21,2.220446049250313e-16,0.33333333333333365,21
ER,29,0.3,138,20,20,1.0,True,14,False,20,2.220446049250313e-16,0.4525659138225968,20
ER,29,0.3,114,20,20,1.0,True,14,False,20,8.9509510914354e-12,0.2474233470100413,20
ER,29,0.3,134,21,21,1.0,True,14,False,21,7.939003232593222e-09,0.36607427481456434,21
ER,29,0.5,196,23,24,1.0434782608695652,False,14,False,24,2.220446049250313e-16,0.46380672323238153,24
ER,29,0.5,208,23,23,1.0,True,14,False,23,2.220446049250313e-16,0.3270842660313651,23
ER,29,0.5,198,23,23,1.0,True,14,False,23,0.0,0.4280920885915144,23
ER,29,0.5,199,22,23,1.0454545454545454,False,14,False,23,2.220446049250313e-16,0.29865252893403127,23
ER,29,0.5,198,22,22,1.0,True,14,False,22,0.0,0.4624681379117929,22
ER,29,0.5,200,22,22,1.0,True,14,False,22,4.8636095151266545e-11,0.45849051166529425,22
ER,29,0.5,199,22,22,1.0,True,14,False,22,2.220446049250313e-16,0.41357468108646495,22
ER,29,0.5,215,22,23,1.0454545454545454,False,14,False,23,0.0,0.3399941332768387,23
ER,29,0.5,201,23,23,1.0,True,14,False,23,2.220446049250313e-16,0.47112731634795,23
ER,29,0.5,209,23,23,1.0,True,14,False,23,2.220446049250313e-16,0.49999999999999983,23
ER,29,0.7,281,25,25,1.0,True,14,False,25,0.0,0.49999999999999994,25
ER,29,0.7,287,24,24,1.0,True,14,False,24,2.220446049250313e-16,0.5657414540893352,24
ER,29,0.7,280,25,25,1.0,True,14,False,25,0.0,0.49999999999999994,25
ER,29,0.7,281,24,24,1.0,True,14,False,24,2.220446049250313e-16,0.5171947889901982,24
ER,29,0.7,268,25,25,1.0,True,14,False,25,0.0,0.49999999999999994,25
ER,29,0.7,282,24,24,1.0,True,14,False,24,2.220446049250313e-16,0.27268555464920263,24
ER,29,0.7,274,25,25,1.0,True,14,False,25,2.220446049250313e-16,0.5831625551645755,25
ER,29,0.7,293,25,25,1.0,True,14,False,25,0.0,0.3459426679966254,25
ER,29,0.7,275,24,24,1.0,True,14,False,24,2.220446049250313e-16,0.5737889172073857,24
ER,29,0.7,292,25,25,1.0,True,14,False,25,2.220446049250313e-16,0.49999999999999994,25
