graph_type,num_nodes,param,num_edges,milp_ref,size_fixed,ratio_fixed,opt_fixed,size_adaptive,ratio_adaptive,opt_adaptive,n_adapted,n_steps,mean_t_used,mean_delta
ER,24,0.7,188,20,20,1.0,True,20,1.0,True,19,20,1.488,0.013681135820749485
ER,24,0.7,192,19,19,1.0,True,19,1.0,True,18,19,1.4489473684210525,0.01962903601924017
ER,24,0.7,200,20,20,1.0,True,20,1.0,True,17,20,1.5265,0.015275151896657502
ER,24,0.7,183,20,20,1.0,True,20,1.0,True,19,20,1.5515,0.01638208015499547
ER,24,0.7,201,20,20,1.0,True,20,1.0,True,19,20,1.5505,0.013524694346026623
ER,29,0.3,112,20,20,1.0,True,20,1.0,True,19,20,1.4505000000000001,0.03123196488305071
ER,29,0.3,131,20,20,1.0,True,20,1.0,True,20,20,1.6,0.0354718579483376
ER,29,0.3,117,20,20,1.0,True,20,1.0,True,19,20,1.4105,0.04883591603874487
ER,29,0.3,112,21,21,1.0,True,21,1.0,True,20,21,1.4538095238095239,0.039650070335584736
ER,29,0.3,124,20,20,1.0,True,20,1.0,True,19,20,1.6004999999999998,0.030737595705503468
ER,29,0.3,119,19,20,1.0526315789473684,False,20,1.0526315789473684,False,20,20,1.575,0.04948180857607406
ER,29,0.3,121,20,21,1.05,False,21,1.05,False,19,21,1.405714285714286,0.03687319722332135
ER,29,0.3,138,20,20,1.0,True,20,1.0,True,20,20,1.6300000000000001,0.037660485195696876
ER,29,0.3,114,20,20,1.0,True,20,1.0,True,20,20,1.675,0.044669186711620026
ER,29,0.3,134,21,21,1.0,True,21,1.0,True,21,21,1.6904761904761905,0.04059806572850603
ER,29,0.5,196,23,24,1.0434782608695652,False,23,1.0,True,23,23,1.673913043478261,0.030826514601173863
ER,29,0.5,208,23,23,1.0,True,23,1.0,True,22,23,1.5221739130434782,0.02895812706065463
ER,29,0.5,198,23,23,1.0,True,23,1.0,True,23,23,1.7608695652173914,0.034099840649813085
ER,29,0.5,199,22,23,1.0454545454545454,False,23,1.0454545454545454,False,22,23,1.4578260869565218,0.02448928211651659
ER,29,0.5,198,22,22,1.0,True,22,1.0,True,21,22,1.5254545454545452,0.03508776688190041
ER,29,0.5,200,22,22,1.0,True,22,1.0,True,22,22,1.5681818181818181,0.03378990320317458
ER,29,0.5,199,22,22,1.0,True,22,1.0,True,22,22,1.5772727272727274,0.02606305930804563
ER,29,0.5,215,22,23,1.0454545454545454,False,23,1.0454545454545454,False,22,23,1.544782608695652,0.019329155816607744
ER,29,0.5,201,23,23,1.0,True,23,1.0,True,22,23,1.587391304347826,0.03522853052936372
ER,29,0.5,209,23,23,1.0,True,23,1.0,True,22,23,1.6308695652173912,0.02580041141569205
ER,29,0.7,281,25,25,1.0,True,25,1.0,True,24,25,1.5411999999999997,0.01565575626402901
ER,29,0.7,287,24,24,1.0,True,25,1.0416666666666667,False,23,25,1.3928,0.010937995860427185
ER,29,0.7,280,25,25,1.0,True,25,1.0,True,23,25,1.4407999999999999,0.012038053929559438
ER,29,0.7,281,24,24,1.0,True,24,1.0,True,24,24,1.5633333333333332,0.017535724810921985
ER,29,0.7,268,25,25,1.0,True,25,1.0,True,23,25,1.5008,0.009412895116888214
ER,29,0.7,282,24,24,1.0,True,25,1.0416666666666667,False,23,25,1.5008,0.010606718560468091
ER,29,0.7,274,25,25,1.0,True,25,1.0,True,24,25,1.4844,0.016479445191062946
ER,29,0.7,293,25,25,1.0,True,25,1.0,True,24,25,1.5411999999999997,0.013414702639720777
ER,29,0.7,275,24,24,1.0,True,24,1.0,True,24,24,1.6895833333333332,0.020976663770208553
ER,29,0.7,292,25,25,1.0,True,25,1.0,True,24,25,1.6003999999999998,0.0090054923036138
ER,34,0.3,161,24,25,1.0416666666666667,False,24,1.0,True,23,24,1.4379166666666665,0.04232940026974319
ER,34,0.3,165,25,25,1.0,True,25,1.0,True,24,25,1.4804,0.040500142900684794
ER,34,0.3,163,24,24,1.0,True,24,1.0,True,23,24,1.6045833333333333,0.047487643037000225
ER,34,0.3,155,24,24,1.0,True,24,1.0,True,23,24,1.5879166666666666,0.033052481911464586
ER,34,0.3,173,24,24,1.0,True,24,1.0,True,24,24,1.6458333333333333,0.044436801558143245
ER,34,0.3,180,25,25,1.0,True,25,1.0,True,23,25,1.6407999999999998,0.03713665673750927
ER,34,0.3,177,25,25,1.0,True,25,1.0,True,23,25,1.6007999999999998,0.03597651655962233
ER,34,0.3,187,25,25,1.0,True,25,1.0,True,24,25,1.6411999999999998,0.03559118837786698
ER,34,0.3,148,23,23,1.0,True,23,1.0,True,23,23,1.673913043478261,0.048963511993250136
ER,34,0.3,180,25,26,1.04,False,26,1.04,False,25,26,1.5984615384615384,0.03447034372453688
ER,34,0.5,279,27,28,1.037037037037037,False,27,1.0,True,27,27,1.6925925925925926,0.029710542974400664
ER,34,0.5,271,27,27,1.0,True,28,1.037037037037037,False,28,28,1.644642857142857,0.023023236549026934
ER,34,0.5,281,27,27,1.0,True,27,1.0,True,27,27,1.7962962962962963,0.02952531822811293
ER,34,0.5,270,27,27,1.0,True,27,1.0,True,27,27,1.6851851851851851,0.035286580975619125
ER,34,0.5,269,27,28,1.037037037037037,False,27,1.0,True,27,27,1.6185185185185187,0.024374504785561205
ER,34,0.5,296,28,28,1.0,True,29,1.0357142857142858,False,28,29,1.64,0.019663854303314944
ER,34,0.5,287,28,28,1.0,True,28,1.0,True,28,28,1.59,0.021604291643363565
ER,34,0.5,293,28,28,1.0,True,28,1.0,True,27,28,1.7503571428571427,0.02363454332992141
ER,34,0.5,266,27,27,1.0,True,27,1.0,True,26,27,1.5188888888888887,0.015230223244551177
ER,34,0.5,284,27,27,1.0,True,27,1.0,True,26,27,1.6670370370370369,0.0160743153033063
ER,34,0.7,387,29,29,1.0,True,29,1.0,True,27,29,1.6041379310344825,0.010751025965462326
ER,34,0.7,386,29,29,1.0,True,30,1.0344827586206897,False,28,30,1.4873333333333332,0.009077640921655316
ER,34,0.7,389,30,30,1.0,True,30,1.0,True,29,30,1.567,0.009761501085004431
ER,34,0.7,390,30,30,1.0,True,31,1.0333333333333334,False,29,31,1.4867741935483867,0.008760749325251171
ER,34,0.7,371,29,30,1.0344827586206897,False,29,1.0,True,29,29,1.536896551724138,0.01673661997450018
ER,34,0.7,403,30,30,1.0,True,30,1.0,True,27,30,1.3866666666666667,0.007384312463655159
ER,34,0.7,392,30,30,1.0,True,30,1.0,True,27,30,1.5376666666666665,0.010878960492538359
ER,34,0.7,404,29,30,1.0344827586206897,False,29,1.0,True,29,29,1.6224137931034481,0.016069139499737473
ER,34,0.7,386,29,29,1.0,True,29,1.0,True,28,29,1.507241379310345,0.013151905356771453
ER,34,0.7,402,30,30,1.0,True,31,1.0333333333333334,False,28,31,1.4687096774193547,0.009809414297773045
ER,39,0.3,216,29,29,1.0,True,29,1.0,True,27,29,1.5351724137931033,0.04235677005671481
ER,39,0.3,219,28,28,1.0,True,28,1.0,True,28,28,1.7339285714285713,0.048416698465803466
ER,39,0.3,217,27,27,1.0,True,27,1.0,True,26,27,1.704074074074074,0.0411677805290443
ER,39,0.3,222,28,29,1.0357142857142858,False,29,1.0357142857142858,False,28,29,1.6244827586206896,0.029059596774345695
ER,39,0.3,229,29,29,1.0,True,29,1.0,True,29,29,1.6551724137931034,0.04071796528513569
ER,39,0.3,228,29,30,1.0344827586206897,False,30,1.0344827586206897,False,29,30,1.5176666666666667,0.03222801148441509
ER,39,0.3,223,29,29,1.0,True,29,1.0,True,28,29,1.69,0.04292157997502435
ER,39,0.3,250,30,30,1.0,True,30,1.0,True,29,30,1.7169999999999999,0.02822317734639525
ER,39,0.3,200,28,29,1.0357142857142858,False,29,1.0357142857142858,False,29,29,1.5524137931034483,0.039847403420049846
ER,39,0.3,243,30,30,1.0,True,30,1.0,True,30,30,1.75,0.03921851401415565
ER,39,0.5,376,31,31,1.0,True,31,1.0,True,31,31,1.6935483870967742,0.028380163726972777
ER,39,0.5,359,32,32,1.0,True,32,1.0,True,32,32,1.640625,0.0228373899941115
ER,39,0.5,374,32,32,1.0,True,33,1.03125,False,32,33,1.6084848484848484,0.01719596293174111
ER,39,0.5,376,31,31,1.0,True,31,1.0,True,31,31,1.6361290322580646,0.021622784760611326
