family,n_param,num_nodes,num_edges,exact_vc_size,is_bipartite,is_regular,CTQW_size,CTQW_time,CTQW_ratio,CTQW_valid,Degree-Greedy_size,Degree-Greedy_time,Degree-Greedy_ratio,Degree-Greedy_valid,2-Approx_size,2-Approx_time,2-Approx_ratio,2-Approx_valid,SA_size,SA_time,SA_ratio,SA_valid
3-Regular,16,16,24,9,False,True,9,0.043602328980341554,1.0,True,9,0.00016461597988381982,1.0,True,14,9.10729868337512e-05,1.5555555555555556,True,9,0.008550947008188814,1.0,True
3-Regular,16,16,24,9,False,True,10,0.04354121896903962,1.1111111111111112,True,10,0.00018878094851970673,1.1111111111111112,True,14,0.00011321203783154488,1.5555555555555556,True,10,0.008356229984201491,1.1111111111111112,True
3-Regular,16,16,24,9,False,True,9,0.038993154012132436,1.0,True,9,0.00018759298836812377,1.0,True,16,0.0001115360064432025,1.7777777777777777,True,9,0.00867268000729382,1.0,True
3-Regular,16,16,24,10,False,True,10,0.04501032899133861,1.0,True,10,0.00015916797565296292,1.0,True,12,0.00010769598884508014,1.2,True,10,0.008945270965341479,1.0,True
3-Regular,16,16,24,9,False,True,9,0.039448169991374016,1.0,True,10,0.00016775901895016432,1.1111111111111112,True,14,9.295897325500846e-05,1.5555555555555556,True,9,0.009249989001546055,1.0,True
3-Regular,16,16,24,9,False,True,9,0.04198005597572774,1.0,True,10,0.0001602860284037888,1.1111111111111112,True,14,9.11430106498301e-05,1.5555555555555556,True,10,0.008980260987300426,1.1111111111111112,True
3-Regular,16,16,24,9,False,True,9,0.041682463022880256,1.0,True,10,0.00015497702406719327,1.1111111111111112,True,16,8.967699250206351e-05,1.7777777777777777,True,10,0.008788128034211695,1.1111111111111112,True
3-Regular,18,18,27,10,False,True,11,0.05012452701339498,1.1,True,11,0.0001885720412246883,1.1,True,14,0.00010147894499823451,1.4,True,11,0.0106430429732427,1.1,True
3-Regular,18,18,27,11,False,True,11,0.05310542305232957,1.0,True,11,0.00018193601863458753,1.0,True,18,9.924400364980102e-05,1.6363636363636365,True,11,0.0102359380107373,1.0,True
3-Regular,18,18,27,11,False,True,11,0.05324552400270477,1.0,True,11,0.00017013301840052009,1.0,True,14,0.00011565699242055416,1.2727272727272727,True,11,0.009532007039524615,1.0,True
3-Regular,18,18,27,10,False,True,10,0.04852851398754865,1.0,True,11,0.00016566301928833127,1.1,True,18,0.00011670496314764023,1.8,True,11,0.00931354402564466,1.1,True
3-Regular,18,18,27,11,False,True,11,0.051038609992247075,1.0,True,11,0.00023676198907196522,1.0,True,16,0.00014010100858286023,1.4545454545454546,True,11,0.010632496967446059,1.0,True
3-Regular,18,18,27,11,False,True,11,0.05099069798598066,1.0,True,12,0.00017020298400893807,1.0909090909090908,True,16,9.617203613743186e-05,1.4545454545454546,True,12,0.009488846000749618,1.0909090909090908,True
3-Regular,18,18,27,10,False,True,10,0.0481667360290885,1.0,True,10,0.00016203202540054917,1.0,True,16,9.596202289685607e-05,1.6,True,11,0.00946384301641956,1.1,True
3-Regular,18,18,27,10,False,True,10,0.05105599999660626,1.0,True,10,0.00017355498857796192,1.0,True,16,0.00010182894766330719,1.6,True,10,0.009385201032273471,1.0,True
3-Regular,18,18,27,11,False,True,11,0.051080723002087325,1.0,True,11,0.00017551099881529808,1.0,True,16,9.95940063148737e-05,1.4545454545454546,True,11,0.009282813989557326,1.0,True
3-Regular,18,18,27,10,False,True,10,0.04788820899557322,1.0,True,11,0.00019276200328022242,1.1,True,18,9.973300620913506e-05,1.8,True,11,0.0094162110472098,1.1,True
Petersen,10,10,15,6,False,True,6,0.020549888024106622,1.0,True,6,0.00011006899876520038,1.0,True,10,6.774597568437457e-05,1.6666666666666667,True,6,0.00660635600797832,1.0,True
