graph_type,param,V,E,vbs_size,sp_size,sp_ratio,sp_valid,sp_time,dg_size,dg_ratio,dg_valid,dg_time,sa_size,sa_ratio,sa_valid,sa_time,sp_lt_dg,sp_eq_dg,sp_gt_dg
ER,0.003,5000,37527,3802,3802,1.0,True,0.02704526693560183,3907,1.0276170436612309,True,0.05281523196026683,3945,1.037611783271962,True,1.29192935093306,1,0,0
ER,0.003,5000,37565,3816,3816,1.0,True,0.02448963501956314,3909,1.02437106918239,True,0.05195073701906949,3909,1.02437106918239,True,1.343660507001914,1,0,0
ER,0.003,5000,37163,3816,3816,1.0,True,0.02461360301822424,3915,1.025943396226415,True,0.05065022292546928,3931,1.0301362683438156,True,1.1720491709420457,1,0,0
ER,0.003,5000,37068,3814,3814,1.0,True,0.023653703974559903,3907,1.0243838489774515,True,0.04808439302723855,3964,1.039328788673309,True,1.2163302180124447,1,0,0
ER,0.0015,10000,74787,7624,7624,1.0,True,0.05477008898742497,7812,1.0246589716684156,True,0.202504089102149,7932,1.040398740818468,True,3.2833558450220153,1,0,0
ER,0.0015,10000,75040,7616,7616,1.0,True,0.058080007089301944,7819,1.0266544117647058,True,0.2064905590377748,7819,1.0266544117647058,True,2.934682340011932,1,0,0
ER,0.0015,10000,75141,7627,7627,1.0,True,0.05856421706266701,7865,1.0312049298544643,True,0.21316689695231616,7906,1.0365805690310739,True,3.1279867970151827,1,0,0
ER,0.0015,10000,74906,7604,7604,1.0,True,0.056793182040564716,7826,1.0291951604418728,True,0.20614470599684864,7841,1.0311678064176748,True,3.145234170020558,1,0,0
ER,0.0015,10000,75193,7642,7642,1.0,True,0.059140268014743924,7831,1.0247317456163307,True,0.20313440694008023,7867,1.0294425543051557,True,3.0398321570828557,1,0,0
ER,0.0015,10000,75032,7630,7630,1.0,True,0.06079403997864574,7840,1.0275229357798166,True,0.20003960002213717,7935,1.0399737876802098,True,3.2006267549004406,1,0,0
ER,0.0015,10000,74940,7619,7619,1.0,True,0.058133505983278155,7852,1.030581441134007,True,0.19934537797234952,7975,1.0467252920330752,True,3.1298188030486926,1,0,0
