inst_id,graph_type,num_nodes,param,num_edges,milp_ref,cover_size,ratio,is_optimal,H_mean,H_std,H_first,H_last,H_slope,H_integral,D_kl_mean,MI_consec,n_steps
36,ER,9,0.3,10,4,4,1.0,True,0.9745035155745005,0.015308266325184366,0.9685689351738366,1.0,0.008327066623847457,0.728432398677771,0.04815757150417249,1.0986122886681096,4
37,ER,9,0.3,16,5,5,1.0,True,0.9862537813425009,0.010563261257534479,0.9885459747453678,1.0,0.0003139605170542681,0.7873991838679641,0.023679296733696988,1.3862943611198906,5
38,ER,9,0.3,15,5,5,1.0,True,0.9823677240781862,0.012293793374732171,0.9937591647461462,1.0,0.0019282380332964256,0.7829918076035718,0.03189496637129645,1.3862943611198906,5
39,ER,9,0.3,14,4,4,1.0,True,0.9644699528231931,0.016734374829703493,0.98067818257297,0.9463966020150019,-0.013537365633225985,0.7235856047496967,0.0570376303568856,1.0986122886681096,4
40,ER,9,0.5,14,5,5,1.0,True,0.9794961946278997,0.019616959382063055,0.9966642082722095,0.9463966020143013,-0.012298788106531034,0.7851901135992486,0.02896304426952432,1.3862943611198906,5
41,ER,9,0.5,25,6,6,1.0,True,0.9847511062553748,0.0178286657139416,0.9983393940701297,0.9463966020150019,-0.007977568262913407,0.8226897732482805,0.02113292063255463,1.6094379124341005,6
42,ER,9,0.5,18,6,6,1.0,True,0.9936770752659744,0.006975230463752371,0.9984721097623471,1.0,0.0008810333016417474,0.8271377327857787,0.011810555206974676,1.6094379124341005,6
43,ER,9,0.5,15,5,5,1.0,True,0.9818877115880446,0.010748105381399189,0.9884799273048184,1.0,0.0025334475120716627,0.7830397188575627,0.032923861658818325,1.3862943611198906,5
44,ER,9,0.5,18,5,5,1.0,True,0.9861469444674764,0.008397715119949483,0.9899564705121381,1.0,0.0027080108164781237,0.7871512974162626,0.02569601847321043,1.3862943611198906,5
45,ER,9,0.5,15,5,5,1.0,True,0.9806383661382482,0.019539632769577,0.9980061942919638,0.9463966020150019,-0.01222080274396793,0.7861980865075515,0.026927746680961616,1.3862943611198906,5
46,ER,9,0.5,16,5,5,1.0,True,0.9865309559542226,0.010650184077535813,0.9935148546567496,1.0,5.467089020548821e-05,0.7871794704885478,0.02459712384417808,1.3862943611198906,5
47,ER,9,0.5,23,6,6,1.0,True,0.9937233975077512,0.004837015771189427,0.996245821160012,1.0,-6.276436787861733e-06,0.8273695790777503,0.01096601680365158,1.6094379124341005,6
48,ER,9,0.5,23,6,6,1.0,True,0.991735560808535,0.008798412610359059,0.9990238627871646,1.0,-0.001515314009552931,0.8251502389096045,0.013493196159680643,1.6094379124341005,6
49,ER,9,0.5,20,6,6,1.0,True,0.9951380116511341,0.005052939648101631,0.9963115274761594,1.0,-0.000144050552179577,0.8287787176947875,0.008254266533408617,1.6094379124341005,6
50,ER,9,0.7,21,6,6,1.0,True,0.9944021275578313,0.006328598841205749,0.9945905080024912,1.0,0.0024410592710792205,0.8281862518909571,0.0111198854907947,1.6094379124341005,6
51,ER,9,0.7,27,6,6,1.0,True,0.989839443602806,0.009573344371411783,0.9984915673127285,1.0,-0.001897052993437831,0.8232984796600785,0.01704736061051639,1.6094379124341005,6
52,ER,9,0.7,27,7,7,1.0,True,0.9976473825718702,0.004341604521680469,0.9995764537684461,1.0,0.0001874010749559499,0.8548204930169813,0.004325304040623537,1.7917594692280547,7
53,ER,9,0.7,23,6,6,1.0,True,0.9916168605697068,0.008289285495534114,0.9960604236757276,1.0,0.0012129110991481269,0.8252784919300629,0.015571461135645103,1.6094379124341005,6
54,ER,9,0.7,24,6,6,1.0,True,0.990957851621439,0.008504216347239447,0.9976138027416958,1.0,-0.00107963316529163,0.8244900347262977,0.015120606163430134,1.6094379124341005,6
55,ER,9,0.7,22,6,6,1.0,True,0.993365652743131,0.005458954803651113,0.9982579114395973,1.0,-0.00040989124100210907,0.8268441601231648,0.01139413574751387,1.6094379124341005,6
56,ER,9,0.7,24,6,6,1.0,True,0.9849876545662927,0.018434165054083133,0.9988039499408742,0.9463966020150019,-0.008421501863279942,0.8228876085699697,0.020505508091421636,1.6094379124341005,6
57,ER,9,0.7,31,7,7,1.0,True,0.9968020715670504,0.005014609806254716,0.9998935976990255,1.0,-0.0012054966154065078,0.8539525288742628,0.004759795378281362,1.7917594692280547,7
58,ER,9,0.7,29,6,6,1.0,True,0.9832722287368485,0.018930578698492042,0.9992852139745902,0.9463966020143013,-0.01001923614022228,0.8211320774044407,0.02317258077950417,1.6094379124341005,6
59,ER,9,0.7,26,6,6,1.0,True,0.987261782205759,0.018705341753288543,0.9992482475391546,0.9463966020150019,-0.008390701720759569,0.8251247114095793,0.016275540882039637,1.6094379124341005,6
60,ER,14,0.3,20,6,6,1.0,True,0.974082035930287,0.016475872805635727,0.9761851095951852,0.9463966020150019,-0.004029521983905036,0.8138668932961047,0.046882254089611886,1.6094379124341005,6
61,ER,14,0.3,20,6,6,1.0,True,0.974082035930287,0.016475872805635727,0.9761851095951852,0.9463966020150019,-0.004029521983905036,0.8138668932961047,0.046882254089611886,1.6094379124341005,6
62,ER,14,0.3,20,6,6,1.0,True,0.974082035930287,0.016475872805635727,0.9761851095951852,0.9463966020150019,-0.004029521983905036,0.8138668932961047,0.046882254089611886,1.6094379124341005,6
63,ER,14,0.3,23,7,7,1.0,True,0.9801761358782954,0.012510750559596356,0.9838175620408074,1.0,-0.00013690760878693712,0.8384748814468094,0.040897246346843164,1.7917594692280547,7
64,ER,14,0.3,30,9,9,1.0,True,0.9923805840643853,0.005603998715841453,0.9984573712324488,1.0,-0.0005241538248634659,0.8813551745514716,0.015197571684067688,2.0794415416798357,9
65,ER,14,0.3,29,9,9,1.0,True,0.9849138508044639,0.024569168188777274,0.9965858475277278,1.0,-0.001096330549831894,0.8739924148307012,0.03017102675720184,2.0794415416798357,9
66,ER,14,0.3,22,8,8,1.0,True,0.9892942793100533,0.008109363846467245,0.9912619813315071,1.0,-0.000977478768478158,0.8648404054768342,0.020726280634724734,1.945910149055313,8
67,ER,14,0.3,31,8,8,1.0,True,0.9889298597283112,0.01210970376728426,0.9882254173899889,1.0,-0.0014876905196162065,0.8646657711414368,0.021493871711346993,1.945910149055313,8
68,ER,14,0.3,34,8,8,1.0,True,0.9852880502774809,0.0151113125532929,0.9926360036562791,0.9463966020150019,-0.004262262494864231,0.8640985124230258,0.024655088810043108,1.945910149055313,8
69,ER,14,0.3,33,9,9,1.0,True,0.9882552396241692,0.015867890197766906,0.9986418237493573,0.9463966020150019,-0.003918650410660955,0.880197549303927,0.018402135634481034,2.0794415416798357,9
70,ER,14,0.5,34,8,8,1.0,True,0.980156928848711,0.014771068103874994,0.995294888827179,0.9463966020150019,-0.005715760305175954,0.8588012106710747,0.03469774836952157,1.945910149055313,8
71,ER,14,0.5,45,9,9,1.0,True,0.9895240117724301,0.011993428275141212,0.9983236395869449,1.0,-0.0022659608410332452,0.8785060317953776,0.020022242053819136,2.0794415416798357,9
72,ER,14,0.5,37,9,9,1.0,True,0.9925180818228543,0.005245360709604793,0.9976631054899261,1.0,-0.0002214378522476061,0.881536798184525,0.015283365083446295,2.0794415416798357,9
73,ER,14,0.5,38,9,9,1.0,True,0.991865470637156,0.007470200661466767,0.9966604040553436,1.0,-0.0006207547587682162,0.8809398926340815,0.01587467115905712,2.0794415416798357,9
74,ER,14,0.5,47,10,10,1.0,True,0.9921647724822951,0.015691801138199842,0.9994250574707421,0.9463966020143013,-0.0029834015387789656,0.8948736895080429,0.01119490797917935,2.1972245773362196,10
75,ER,14,0.5,43,10,10,1.0,True,0.9911425196488761,0.01537321354841409,0.9992956276939214,0.9463966020143013,-0.0031294131510422956,0.8938579081634648,0.013166441119666939,2.1972245773362196,10
76,ER,14,0.5,42,9,9,1.0,True,0.9889116044240773,0.015843916952614508,0.998921926084694,0.9463966020150019,-0.004331072446324273,0.8808383528629832,0.016737696062558174,2.0794415416798357,9
77,ER,14,0.5,50,10,10,1.0,True,0.9905078969630159,0.015314272515481897,0.9987468707923186,0.9463966020150019,-0.0034484911158476814,0.8932507233226499,0.013947190842976648,2.1972245773362196,10
78,ER,14,0.5,54,10,11,1.1,False,0.9973868472778086,0.003208930072186275,0.9991783771946585,1.0,-3.638780863245528e-05,0.9065151028598695,0.005392161285885212,2.3025850929940455,11
79,ER,14,0.5,49,9,9,1.0,True,0.9867817327757863,0.015433354209793332,0.9989269066528115,0.9463966020143013,-0.004655355398213764,0.8787082045165023,0.021287343782189758,2.0794415416798357,9
80,ER,14,0.7,55,10,10,1.0,True,0.9899709896141541,0.015348875635850972,0.99964766898031,0.9463966020150019,-0.003702296653024235,0.8926687760643885,0.014892826322372432,2.1972245773362196,10
81,ER,14,0.7,63,10,10,1.0,True,0.9914140123147499,0.012264539111228151,0.9997638556803121,1.0,-0.0024366931417109357,0.8914258195307344,0.015744737545222008,2.1972245773362196,10
82,ER,14,0.7,57,10,10,1.0,True,0.9936267822236644,0.007463988608004466,0.9980845833040612,1.0,-0.0011069364659325842,0.8937225530584614,0.011556934249015386,2.1972245773362196,10
83,ER,14,0.7,58,10,10,1.0,True,0.990337107889574,0.01509376835314671,0.9988607250919674,0.9463966020150019,-0.0031947873362511976,0.8930742415342255,0.01466423385161636,2.1972245773362196,10
