instance_id,graph_type,num_nodes,is_optimal,step,vertex,prob,delta,spectral_gap,n_active
46,ER,9,True,3,0,9.999666671134388e-05,0.0,3.3306690738754696e-16,5
46,ER,9,True,4,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
47,ER,9,True,0,1,2.2856868730158908e-05,4.440892098500626e-16,0.728144348384266,9
47,ER,9,True,1,7,3.0237672470567745e-05,2.9165744939163574e-06,0.639186966139419,8
47,ER,9,True,2,4,5.27767618409003e-05,1.1110820476001315e-05,0.4527669092115528,7
47,ER,9,True,3,3,4.444365098432712e-05,0.0,0.666666666666667,5
47,ER,9,True,4,6,7.49980208569756e-05,2.220446049250313e-16,0.4999999999999997,4
47,ER,9,True,5,2,9.999666671134388e-05,2.220446049250313e-16,2.0,2
48,ER,9,True,0,8,2.1999762545021895e-05,8.888880063118165e-07,0.6845852326568627,9
48,ER,9,True,1,3,2.6110781704780095e-05,4.4441817381724036e-07,0.6209626204722605,8
48,ER,9,True,2,4,4.4582605720822066e-05,1.6249656297206982e-05,0.5370333351375368,7
48,ER,9,True,3,6,3.5416123895015694e-05,6.661338147750939e-16,0.8523331772784358,5
48,ER,9,True,4,5,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218303,4
48,ER,9,True,5,1,9.999666671134388e-05,2.220446049250313e-16,2.0,2
49,ER,9,True,0,5,2.6428234694009234e-05,5.713990046674056e-07,0.6521447785937309,9
49,ER,9,True,1,8,4.374928168959791e-05,1.2499723188397205e-05,0.5302265650484828,8
49,ER,9,True,2,2,3.333286008655456e-05,2.220446049250313e-16,0.6666666666666669,6
49,ER,9,True,3,7,4.4443650984549166e-05,4.440892098500626e-16,0.6666666666666667,5
49,ER,9,True,4,1,7.49980208569756e-05,2.220446049250313e-16,0.49999999999999983,4
49,ER,9,True,5,3,9.999666671134388e-05,2.220446049250313e-16,2.0,2
50,ER,9,True,0,3,2.5713978388686165e-05,4.761980531009513e-07,0.5374322573012507,9
50,ER,9,True,1,8,3.999938186827201e-05,1.3333028081596865e-05,0.5345186738145764,8
50,ER,9,True,2,1,4.999911169689675e-05,1.6666195027714714e-05,0.47630707586430826,6
50,ER,9,True,3,0,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
50,ER,9,True,4,4,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
50,ER,9,True,5,6,9.999666671134388e-05,2.220446049250313e-16,2.0,2
51,ER,9,True,0,1,1.8075209649581758e-05,1.289872488818844e-07,0.8112992407199595,9
51,ER,9,True,1,7,2.1564364324766494e-05,2.220446049250313e-16,0.7880092934296072,8
51,ER,9,True,2,4,3.0277353579966082e-05,1.2777349216452905e-06,0.7199286042258636,7
51,ER,9,True,3,8,5.2082346652326805e-05,1.2499641931285055e-05,0.5806843210314838,6
51,ER,9,True,4,6,6.666511575603717e-05,2.499913195419534e-05,0.7712864461218311,4
51,ER,9,True,5,5,9.999666671134388e-05,2.220446049250313e-16,2.0,2
52,ER,9,True,0,7,1.7652871310391838e-05,2.324116776808438e-07,0.7617394616058927,9
52,ER,9,True,1,8,2.1666430865985298e-05,5.555627164977039e-07,0.7210752755665023,8
52,ER,9,True,2,3,2.599967500183098e-05,0.0,0.6417424305044165,7
52,ER,9,True,3,4,4.374928386019494e-05,1.6666310767687875e-05,0.6096117967977923,6
52,ER,9,True,4,1,3.333283950957e-05,2.220446049250313e-16,1.3333333333333324,4
52,ER,9,True,5,2,4.999906250702235e-05,2.220446049250313e-16,1.4999999999999996,3
